,asset,free,locked
236,BTCUP,0.00000000,0.00000000
237,BTCDOWN,0.00000000,0.00000000
238,HNT,0.00000000,0.00000000
239,JST,0.00000000,0.00000000
240,FIO,0.00000000,0.00000000
241,BIDR,0.00,0.00
242,STMX,0.00000000,0.00000000
243,MDT,0.00000000,0.00000000
244,PNT,0.00000000,0.00000000
245,COMP,0.00000000,0.00000000
246,IRIS,0.00000000,0.00000000
247,MKR,0.00000000,0.00000000
248,SXP,0.00000000,0.00000000
249,SNX,0.00000000,0.00000000
250,DAI,0.00000000,0.00000000
251,ETHUP,0.00000000,0.00000000
252,ETHDOWN,0.00000000,0.00000000
253,ADAUP,0.00000000,0.00000000
254,ADADOWN,0.00000000,0.00000000
255,LINKUP,0.00000000,0.00000000
256,LINKDOWN,0.00000000,0.00000000
257,DOT,0.00000000,0.00000000
258,RUNE,0.00000000,0.00000000
259,BNBUP,0.00000000,0.00000000
260,BNBDOWN,0.00000000,0.00000000
261,XTZUP,0.00000000,0.00000000
262,XTZDOWN,0.00000000,0.00000000
263,AVA,0.00000000,0.00000000
264,BAL,0.00000000,0.00000000
265,YFI,0.00000000,0.00000000
266,SRM,0.00000000,0.00000000
267,ANT,0.00000000,0.00000000
268,CRV,0.00000000,0.00000000
269,SAND,0.00000000,0.00000000
270,OCEAN,0.00000000,0.00000000
271,NMR,0.00000000,0.00000000
272,LUNA,0.00000000,0.00000000
273,IDEX,0.00000000,0.00000000
274,RSR,0.00000000,0.00000000
275,PAXG,0.00000000,0.00000000
276,WNXM,0.00000000,0.00000000
277,TRB,0.00000000,0.00000000
278,EGLD,0.00000000,0.00000000
279,BZRX,0.00000000,0.00000000
280,WBTC,0.00000000,0.00000000
281,KSM,0.00000000,0.00000000
282,SUSHI,0.00000000,0.00000000
283,YFII,0.00000000,0.00000000
284,DIA,0.00000000,0.00000000
285,BEL,0.00000000,0.00000000
286,UMA,0.00000000,0.00000000
287,EOSUP,0.00000000,0.00000000
288,TRXUP,0.00000000,0.00000000
289,EOSDOWN,0.00000000,0.00000000
290,TRXDOWN,0.00000000,0.00000000
291,XRPUP,0.00000000,0.00000000
292,XRPDOWN,0.00000000,0.00000000
293,DOTUP,0.00000000,0.00000000
294,DOTDOWN,0.00000000,0.00000000
295,NBS,0.00000000,0.00000000
296,WING,0.00000000,0.00000000
297,SWRV,0.00000000,0.00000000
298,LTCUP,0.00000000,0.00000000
299,LTCDOWN,0.00000000,0.00000000
300,CREAM,0.00000000,0.00000000
301,UNI,0.00000000,0.00000000
302,OXT,0.00000000,0.00000000
303,SUN,0.00000000,0.00000000
304,AVAX,0.00000000,0.00000000
305,BURGER,0.00000000,0.00000000
306,BAKE,0.00000000,0.00000000
307,FLM,0.00000000,0.00000000
308,SCRT,0.00000000,0.00000000
309,XVS,0.00000000,0.00000000
310,CAKE,0.00000000,0.00000000
311,SPARTA,0.00000000,0.00000000
312,UNIUP,0.00000000,0.00000000
313,UNIDOWN,0.00000000,0.00000000
314,ALPHA,0.00000000,0.00000000
315,ORN,0.00000000,0.00000000
316,UTK,0.00000000,0.00000000
317,NEAR,0.00000000,0.00000000
318,VIDT,0.00000000,0.00000000
319,AAVE,0.00000000,0.00000000
320,FIL,0.00000000,0.00000000
321,SXPUP,0.00000000,0.00000000
322,SXPDOWN,0.00000000,0.00000000
323,INJ,0.00000000,0.00000000
324,FILDOWN,0.00000000,0.00000000
325,FILUP,0.00000000,0.00000000
326,YFIUP,0.00000000,0.00000000
327,YFIDOWN,0.00000000,0.00000000
328,CTK,0.00000000,0.00000000
329,EASY,0.00000000,0.00000000
330,AUDIO,0.00000000,0.00000000
331,BCHUP,0.00000000,0.00000000
332,BCHDOWN,0.00000000,0.00000000
333,BOT,0.00000000,0.00000000
334,AXS,0.00000000,0.00000000
335,AKRO,0.00000000,0.00000000
